# CREATED BY M. WILD: Concatenated from original data, added x/d column
# Sandia piloted CH4-air jet flame D (1997)
# Profile of Favre average mass fractions
# x/d    r/d    F       Frms    T(K)   Trms   YO2       YO2rms    YN2       YN2rms    YH2       YH2rms    YH2O      YH2Orms   YCH4      YCH4rms   YCO       YCOrms    YCO2      YCO2rms   YOH       YOHrms    YNO       YNOrms    YCOLIF    YCOrms
  7.5   0.28  0.9735  0.0493   364.    78.  1.87E-01  1.04E-02  6.53E-01  8.16E-03  1.18E-04  1.27E-04  4.98E-03  5.15E-03  1.50E-01  9.53E-03  1.56E-03  2.41E-03  4.41E-03  5.00E-03  6.37E-07  5.75E-06  7.11E-07  8.79E-07  1.52E-03  1.76E-03
  7.5   0.42  0.9320  0.0673   470.   148.  1.74E-01  1.79E-02  6.59E-01  1.03E-02  3.28E-04  2.70E-04  1.22E-02  1.03E-02  1.39E-01  1.54E-02  4.33E-03  5.11E-03  1.11E-02  9.71E-03  4.94E-06  1.60E-05  2.26E-06  2.29E-06  4.29E-03  3.90E-03
  7.5   0.56  0.8656  0.0851   673.   232.  1.51E-01  2.93E-02  6.67E-01  1.35E-02  7.30E-04  4.17E-04  2.67E-02  1.67E-02  1.21E-01  2.18E-02  1.13E-02  8.88E-03  2.36E-02  1.51E-02  5.91E-06  1.99E-05  5.52E-06  4.32E-06  1.00E-02  7.33E-03
  7.5   0.69  0.7508  0.1205  1016.   350.  1.09E-01  4.32E-02  6.82E-01  1.72E-02  1.30E-03  5.57E-04  5.23E-02  2.63E-02  8.92E-02  3.25E-02  2.18E-02  1.15E-02  4.55E-02  2.32E-02  8.33E-05  2.88E-04  1.28E-05  9.24E-06  2.08E-02  1.25E-02
  7.5   0.83  0.5893  0.1464  1435.   369.  6.32E-02  4.10E-02  6.98E-01  1.80E-02  1.60E-03  6.02E-04  8.22E-02  2.64E-02  4.85E-02  3.53E-02  3.08E-02  1.33E-02  7.32E-02  2.65E-02  5.80E-04  9.49E-04  2.52E-05  1.33E-05  3.23E-02  1.33E-02
  7.5   0.97  0.3811  0.1251  1734.   214.  4.95E-02  3.08E-02  7.17E-01  1.78E-02  9.75E-04  7.52E-04  9.82E-02  1.58E-02  1.17E-02  1.89E-02  2.31E-02  1.74E-02  9.39E-02  1.90E-02  1.87E-03  1.18E-03  3.34E-05  1.21E-05  2.65E-02  1.63E-02
  7.5   1.11  0.2331  0.0796  1589.   243.  9.10E-02  4.01E-02  7.35E-01  1.36E-02  2.48E-04  3.84E-04  8.08E-02  1.91E-02  1.47E-03  4.77E-03  6.58E-03  1.04E-02  8.16E-02  2.09E-02  1.64E-03  9.88E-04  2.25E-05  1.16E-05  8.63E-03  1.11E-02
  7.5   1.25  0.1360  0.0572  1197.   288.  1.45E-01  3.59E-02  7.46E-01  1.07E-02  5.12E-05  1.18E-04  5.28E-02  1.84E-02  1.57E-04  1.46E-03  1.15E-03  3.82E-03  5.44E-02  2.09E-02  4.76E-04  6.73E-04  1.10E-05  7.55E-06  1.64E-03  3.37E-03
  7.5   1.39  0.0826  0.0416   877.   265.  1.78E-01  2.83E-02  7.53E-01  8.27E-03  2.04E-05  4.77E-05  3.47E-02  1.37E-02  5.44E-05  2.48E-04  2.34E-04  1.83E-03  3.43E-02  1.81E-02  8.58E-05  2.28E-04  4.89E-06  3.77E-06  3.69E-04  7.73E-04
  7.5   1.53  0.0453  0.0345   625.   238.  2.01E-01  2.35E-02  7.57E-01  7.12E-03  1.39E-05  2.89E-05  2.23E-02  1.13E-02  0.00E+00  1.63E-04  0.00E+00  1.26E-03  1.89E-02  1.58E-02  1.04E-05  4.76E-05  2.27E-06  2.15E-06  1.01E-04  1.78E-04
